combined,atoms
Action & Romance,Action|Romance
Action-Adventure,Action|Adventure
Action/Adventure,Action|Adventure
Adventure & Romance,Adventure|Romance
Adventure/Action,Adventure|Action
Drama & Romance,Drama|Romance
