variant,canonical,route
Taimanin Asagi,Taimanin Asagi,fandom
Takami S.,Takami Sako,character
Tamamo-No-Mae,Tamamo-no-Mae,character
Targcest | Targaryen Incest (A Song of Ice and Fire),Incest,tag
Taylor,Taylor Hebert,character
Team as Family,Found Family,tag
Teddy L.,Teddy L.,character
Tensura,That Time I Got Reincarnated as a Slime,fandom
Tensura AU,Alternate Universe,genre
Tentacle Sex,Tentacles,tag
Terraria,Terraria,fandom
That Time I Reincarnated As A Slime,That Time I Got Reincarnated as a Slime,fandom
The Avengers (2012),The Avengers (Marvel Movies),fandom
The Avengers - Ambiguous Fandom,The Avengers (Marvel),fandom
The Bloody Baron (Harry Potter),The Bloody Baron,character
The Dance of the Dragons | Aegon II Targaryen v. Rhaenyra Targaryen Era,A Song of Ice and Fire,fandom
The Defenders (Marvel TV),The Defenders (Marvel),fandom
The Dresden Files - Jim Butcher,The Dresden Files,fandom
The Fall Of Uzushiogakure | Hidden Eddy Village,Naruto,fandom
The Gamer,Gamer,tag
The Incredible Hulk (2008),The Incredible Hulk (2008),fandom
The Lord of the Rings - All Media Types,The Lord of the Rings,fandom
The Lord of the Rings - J. R. R. Tolkien,The Lord of the Rings,fandom
Theodore N.,Theodore Nott,character
Theon G.,Theon G.,character
Third Shinobi War,Naruto,fandom
Thor (Movies),Thor (Movies),fandom
Time Travel AU,Time Travel,genre
Time Travel Fix It,Time Travel Fix-It,tag
To the Future,Time Travel,genre
To the Past,Time Travel,genre
Tom Riddle Jr.,Tom Riddle,character
Tommen,Tommen Baratheon,character
Tooth-Rotting Fluff,Fluff,tag
Touhou,Touhou Project,fandom
Toys,Sex Toys,tag
Transmigration,Reincarnation,genre
Tsuboi Ryoutarou | Klein,Tsuboi Ryoutarou | Klein,character
Tsukune A.,Aono Tsukune,character
Tsume I.,Tsume Inuzuka,character
Tsunade,Tsunade,character
Turn Back The Pendulum,Bleach,fandom
Twincest,Incest,tag
Type-Moon,Type-Moon,fandom
Tyrion L.,Tyrion Lannister,character
Underage Rape/Non-con,Non-Con,tag
Underage Sex,Underage,tag
Underage Sex - Freeform,Underage,tag
Unicorns,Unicorns!,tag
Unplanned Pregnancy,Pregnancy,tag
Unresolved Sexual Tension,UST,tag
Uryuu I.,Uryuu Ishida,character
Uzushiogakure | Hidden Eddy Village,Naruto,fandom
Vali L.,Vali L.,character
Varys (A Song of Ice and Fire),Varys,character
Velvet S.,Velvet S.,character
Venelana G.,Venelana Gremory,character
Venom,Venom,character
Very Powerful,Powerful,tag
Video Game Mechanics,Gamer,tag
Villain,Evil,tag
Villain Protagonist?,Villain Protagonist,tag
Villainous Protagonist,Evil,tag
Villian Protagonist,Villain Protagonist,tag
Violence.,Violence,tag
Viserys T.,Viserys Targaryen,character
W. Cage,Whitley Cage,character
Waff,Fluff,tag
Waifu Catalog-SI,Waifu Catalog SI,tag
Waifu Collecting,Harem,tag
Waifu Husbandry,Harem,tag
Waifus,Waifus!,tag
War,War,genre
War And Military,Military,tag
Warcraft Au,Warcraft,fandom
Warhammer,Warhammer,fandom
Warhammer 40.000,Warhammer 40K,fandom
Weasleys bashing,Weasley Bashing,tag
What Could Possibly Go Wrong,What Could Possibly Go Wrong?,tag
What If,What-If,tag
What If...? (TV 2021),What If...? (TV),fandom
What if?,What-If,tag
White Walkers (A Song of Ice and Fire),White Walkers,character
Wholesome?,Wholesome,tag
Why Am I Doing This,Why Am I Doing This?,tag
Wiedźmin | The Witcher (Video Game),The Witcher,fandom
Wiedźmin | The Witcher - All Media Types,The Witcher,fandom
Wincest,Incest,tag
Winter S.,Winter Schnee,character
Witcher,The Witcher,fandom
Wolf Among Us,The Wolf Among Us,fandom
World Of Warcraft,World of Warcraft,fandom
world-building,World Building,tag
Worm - Fandom,Worm,fandom
Worm Au,Worm,fandom
Worm Crossover,Crossover,genre
Writer is trying her best :')),Writer is trying her best :'),tag
X-Men,X-Men,fandom
X-Men (Movies),X-Men (Movies),fandom
X-Men (Movieverse),X-Men (Movieverse),fandom
X-Men - All Media Types,X-Men - All Media Types,fandom
X-men - Freeform,X-Men,fandom
X-Men: Evolution,X-Men: Evolution,fandom
Yandere?,Yandere,tag
Ygritte (ASoIaF),Ygritte,character
YJ SI,Self-Insert,tag
YJ-SI,YJ SI,tag
Yoruichi S.,Shihouin Yoruichi,character
Youjo Senki/Saga Of Tanya The Evil,Youjo Senki: Saga of Tanya the Evil,tag
Young Justice,Young Justice,fandom
Young Justice (Dc Comics),Young Justice (DC Comics),fandom
Young Justice (Dc Universe),Young Justice,fandom
Young Justice Self Insert,Self-Insert,tag
Yugao U.,Yugao U.,character
Yugito N.,Yugito Nii,character
Yui-MHCP001 (Sword Art Online),Yui (Sword Art Online),character
Yukari S.,Sendo Yukari,character
Yuna/Yuuna S.,Yuna/Yuuna S.,character
Yuuki Asuna,Asuna Yuuki,character
Yuuki Kyouko,Yuuki Kyouko,character
Yuuki Shouzou,Yuuki Shouzou,character
Znt,Zero no Tsukaima,fandom
この素晴らしい世界に祝福を! | KonoSuba: God's Blessing on this Wonderful World! - All Media Types,KonoSuba,fandom
ゼロの使い魔 | Zero no Tsukaima | The Familiar of Zero,The Familiar of Zero,fandom
ソードアート・オンライン - 川原礫 | Sword Art Online - Kawahara Reki,Sword Art Online,fandom
僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia,My Hero Academia,fandom
僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia (Anime & Manga),My Hero Academia,fandom
新妹魔王の契約者 | Shinmai Maou No Testament | The Testament of Sister New Devil - All Media Types,The Testament of Sister New Devil,fandom
転生したらスライムだった件 - 伏瀬 | Tensei Shitara Slime Datta Ken | That Time I Got Reincarnated as a Slime - Fuse,That Time I Got Reincarnated as a Slime,fandom
더 게이머 | The Gamer (Webcomic),The Gamer (Webcomic),fandom
Male Dom,Male Dom,tag
Male Dominant,Male Dom,tag
Maledom,Male Dom,tag
Male Domination,Male Dom,tag
