variant,canonical,route
Crack?-Ish?,Crack-Ish,tag
Cross Over,Crossover,genre
Cross-Over,Cross Over,tag
Crossover Elements,Crossover,genre
Crossover References,Crossover,genre
Crossover Setting,Crossover,genre
Crossovers & Fandom Fusions,Crossover,genre
Crusader Kings 3,Crusader Kings 3,fandom
CT-27-5555 | Fives | ARC-5555,Fives,character
Cussing,Profanity,tag
Cyberpunk 2020,Cyberpunk,fandom
"Cyberpunk 2077 ""SI""",Cyberpunk 2077 SI,tag
Cyberpunk 2077 SI,Self-Insert,tag
D&D,Dungeons & Dragons,fandom
dad tony,Protective Tony Stark,tag
Daenerys T./Dany,Daenerys Targaryen,character
Dai-hachi-han | Team 8 (Naruto) - Character,Team 8,character
Dai-jippan | Team 10 (Naruto) - Character,Team 10 (Naruto),character
Dai-nana-han | Team 7 (Naruto) - Character,Team Seven,tag
Daniel Black,Daniel Black,character
Danmachi Au,Alternate Universe,genre
Daredevil (TV),Daredevil (TV),fandom
Dark As Fuck,Dark,tag
Dark Character,Dark,tag
Dark Crack,Dark,tag
Dark Fic/Character,Dark,tag
Dark or Evil,Dark,tag
Dbz,Dragon Ball Z,fandom
Dc Crossover,Crossover,genre
DC Extended Universe,DC Extended Universe,fandom
DC Superheroes,DC,fandom
Dead Dove Do Not Eat,Dead Dove: Do Not Eat,tag
Delphi Riddle,Delphini Riddle,character
Demon Slayer,Demon Slayer,fandom
Destiny 2,Destiny 2,fandom
Diarmuid Ua Duibhne | Lancer,Diarmuid Ua Duibhne | Lancer,character
Digimon,Digimon,fandom
Domestic Fluff,Fluff,tag
Don’t copy to another site,Don't copy to another site,tag
Dragon Ball Z,Dragon Ball Z,fandom
Dragonriders of Pern series,Dragonriders of Pern,fandom
Drama & Romance,Romance,genre
dubcon,Dub-Con,tag
Dubious Consent,Dub-Con,tag
Dubious Consent?,Dubious Consent,tag
Dubious Morality,Grey,tag
Dudley,Dudley Dursley,character
Dudley D.,Dudley Dursley,character
Dumbledore's Army,Harry Potter,fandom
Dungeon ni Deai o Motomeru no wa Machigatte Iru Darou ka,DanMachi,fandom
"dxd ""SI""",DXD SI,tag
Dxd Au,Alternate Universe,genre
DXD SI,Self-Insert,tag
Dxd Slight Au,Alternate Universe,genre
E. Palpatine,Emperor Palpatine,character
Edgerunners,Cyberpunk: Edgerunners,fandom
Eldar,Warhammer 40.000,fandom
Elder Scroll series,The Elder Scrolls,fandom
Eminence In Shadow,The Eminence in Shadow,fandom
EMIYA,EMIYA,character
Emotional Hurt,Hurt/Comfort,tag
Emotional Hurt/Comfort,Hurt/Comfort,tag
Emotional/Psychological Abuse,Abuse,tag
Erica B.,Erica B.,character
Espionage!,Espionage,tag
Evangelion,Neon Genesis Evangelion,fandom
Eventual Harem,Harem,tag
Eventual Lewds,Smut,tag
Eventual Op Mc,Overpowered,tag
eventual polyamory,Polyamory,tag
Eventually Nsfw,NSFW,tag
Everyone betrays main character,Betrayal,tag
Evil Fic/Character,Evil,tag
Evil Mc,Evil,tag
Evil Protagonist,Evil,tag
Exalted 2E,Exalted,fandom
Excessive Amounts Of Cum,Come Inflation,tag
Explicit Sexual Content,Explicit,tag
Extremely Dubious Consent,Dub-Con,tag
Extremely Underage,Underage,tag
Fairy Tail Au,Fairy Tail,fandom
Fairy Tail Si,Self-Insert,tag
Fallout 4,Fallout 4,fandom
Families of Choice,Found Family,tag
Family Fluff,Fluff,tag
Fate Crossover,Crossover,genre
Fate Extra,Fate-Extra,tag
Fate Zero,Fate/Zero,tag
Fate Zero SI,Self-Insert,tag
Fate/Apocrypha,Fate/Apocrypha,fandom
Fate/stay night: Unlimited Blade Works (Anime 2014),Fate/stay night,fandom
Fate/Zero,Fate/Zero,fandom
Fem-Slash,Femslash,tag
Fem/Slash,Femslash,tag
Female Kyuubi | Nine-tails | Kurama,Kurama (Naruto),character
Female Reader,Reader-Insert,tag
femme slash,Femme-Slash,tag
Femme-cest,Incest,tag
Femme-Slash,F/F,tag
femmeslash,Femslash,tag
Few people bashing,Bashing,tag
Final Fantasy 7,Final Fantasy VII,fandom
Final Fantasy VII,Final Fantasy VII,fandom
Fix Fic,Fix-It,tag
Fix It,Fix-It,tag
Fix-It Fic,Fix-It,tag
Fix-It of Sorts,Fix-It,tag
Flash,The Flash,character
Flora C.,Flora C.,character
Fluff For The Fluff Throne,Fluff,tag
Fluffery For The Fluff God,Fluff,tag
Flynn R.,Flynn Rider,character
Forced Marriage,Arranged Marriage,tag
Fred W.,Fred Weasley,character
Friend Insert,Self-Insert,tag
Frieren Demon-Mother Isekai,Frieren Demon Mother Isekai,tag
Fuck Canon,Alternate Universe,genre
Fuck Mike Pence!,Fuck Mike Pence,tag
Fucking,Smut,tag
Fullmetal Alchemist: Brotherhood & Manga,Fullmetal Alchemist: Brotherhood & Manga,fandom
Furry?,Furry,tag
Futa,Futanari,tag
Fuuinjutsu,Naruto,fandom
G.S. Yamamoto,Genryusai Yamamoto,character
Gaara & Uzumaki Naruto,Gaara & Uzumaki Naruto,character
Gabrielle D.,Gabrielle Delacour,character
Game Elements,Gamer,tag
Game Of Thrones,Game of Thrones,fandom
Game of Thrones (TV),Game of Thrones (TV),fandom
Game X-overs,Crossover,genre
Gamer (Litrpg),Gamer,tag
gamer - Freeform,Gamer,tag
Gamer Elements,Gamer,tag
Gamer Fic,Gamer,tag
Gamer Inspired,Gamer,tag
Gamer Lite,Gamer-Lite,tag
Gamer MC,Gamer,tag
Gamer Powers,Gamer,tag
Gamer System,Gamer,tag
Gamer-inspired,Gamer Inspired,tag
Gamer-Lite,Gamer,tag
Gamer/더 게이머,The Gamer,fandom
Garrus V.,Garrus Vakarian,character
Gate - Jietai Kare no Chi nite; Kaku Tatakeri,Gate: Thus the JSDF Fought There,fandom
Gate - Thus The Jsdf Fought There,Gate - Thus The Jsdf Fought There!,tag
Gate - Thus The Jsdf Fought There!,Gate,fandom
Geass,Code Geass,fandom
Gender Bender Mc,Genderbent character(s),tag
Genderbending,Gender Bender,tag
Genderbent Characters,Genderbent character(s),tag
George W.,George Weasley,character
Gilderoy L.,Gilderoy Lockhart,character
Gilgamesh (Fate),Gilgamesh (Fate),character
Ginny bashing,Ginny Bashing,tag
Godlike Powers,Godlike,tag
Gore/Violence/Blood/Death,Gore,tag
Got Au,Game of Thrones,fandom
Gotham,Gotham,fandom
Gotham (Batman),Gotham,fandom
Graphic Depictions Of Violence,Graphic Violence,tag
Graphic Description of Corpses,Gore,tag
Gray Morality,Grey,tag
Gringotts,Harry Potter,fandom
Growing-Up,Growing Up,tag
H. Dresden,Harry Dresden,character
Hachiman,Hikigaya Hachiman,character
Hanabi H.,Hanabi H.,character
Hand-Holding,Hand Holding,tag
Harem (Most Likely),Harem,tag
Harem (Obviously For Anyone Who Knows My Works),Harem,tag
Harem Building,Harem,tag
Harem Eventual,Harem,tag
Harem Eventually,Harem,tag
Harem Galore,Harem,tag
Harem Is A Go?,Harem,tag
Harem Protagonist,Harem,tag
Harem Stories,Harem,tag
Harem/Multi pairing,Harem,tag
Harem?,Harem,tag
Harems,Harem,tag
Harry Potter > Het - Male/Female > Harry/Hermione,Harry Potter/Hermione Granger,character
Harry Potter Au,Alternate Universe,genre
Harry Potter Epilogue What Epilogue | EWE,Alternate Universe,genre
Harry/Daphne,Harry Potter/Daphne Greengrass,character
Hatake Kakashi's Ninken - Character,Hatake Kakashi's Ninken,character
Hayate G.,Gekkou Hayate,character
Heavily Divergent,Alternate Universe,genre
Heavy Angst,Angst,tag
Hermione bashing,Hermione Bashing,tag
Hestia C.,Hestia,character
Hiashi H.,Hyuuga Hiashi,character
Highschool DxD AU,Alternate Universe,genre
Hiruzen,Hiruzen Sarutobi,character
Hogwart's At 13,Hogwarts at 13,tag
Hogwarts - Year 6,Harry Potter,fandom
Hollywood SI,Self-Insert,tag
Honkai,Honkai Impact,fandom
Honkai Impact 3Rd,Honkai Impact 3rd,fandom
Hotd,House of the Dragon,fandom
House Elves,Harry Potter,fandom
