value,fandoms,characters,tags,genres
Fate SI,Type-Moon,,SI/OC,
Naruto Gamer SI,Naruto;The Gamer,,SI/OC,
Sasuke SI,Naruto,Sasuke Uchiha,SI/OC,
Sekirei SI,Sekirei,,SI/OC,
Star Wars SI-OC,Star Wars,,SI/OC,
Warcraft CYOA,Warcraft,,CYOA,
