variant,canonical
#Action,Action
Comedy?,Comedy
Crossover?,Crossover
Humor?,Humor
Humour,Humor
Hurt-Comfort,Hurt/Comfort
isekai?,Isekai
Sci Fi,Sci-Fi
Science Fiction,Sci-Fi
Sports!,Sports
Time-Travel,Time Travel
