variant,canonical,fandom
Rubeus H.,Rubeus Hagrid,
Ruby R.,Ruby Rose,
Rufus S.,Rufus Scrimgeour,
Rukia K.,Rukia Kuchiki,
Saeko B.,Saeko Busujima,
Sakumo H.,Sakumo Hatake,
Sakura H.,Sakura Haruno,
Sakura M.,Sakura Matou,
Sansa S.,Sansa Stark,
Sarada U.,Sarada Uchiha,Naruto
Sasuke U.,Sasuke Uchiha,
Saya T.,Saya Takagi,Highschool of the Dead
Self-Insert - Character,Self Insert - Character,
Serafall L.,Serafall Leviathan,
Severus S.,Severus Snape,
Shikamaru N.,Shikamaru Nara,
Shinji I.,Shinji Ikari,
Shino A.,Shino Aburame,
Shirley F.,Shirley Fenette,
Shirō E.,Shirou Emiya,Fate/Series
Shirō E.,Shirou Emiya,Highschool DxD
Shirō E.,Shirou Emiya,Sword Art Online
Shirō E.,Shirou Emiya,Danmachi
Shirō E.,Shirou Emiya,A Song of Ice and Fire
Shirō E.,Shirou Emiya,Naruto
Shisui U.,Shisui Uchiha,
SI-OC - Character,SI/OC - Character,
Sienna K.,Sienna Khan,
Silena B.,Silena Beauregard,Percy Jackson and the Olympians
Sirius B.,Sirius Black,
Sirzechs L.,Sirzechs Lucifer,
Sona S.,Sona Sitri,
Stannis B.,Stannis Baratheon,
Star B.,Star Butterfly,
Su L.,Su Li,Harry Potter
Summer R.,Summer Rose,RWBY
Sun W.,Sun Wukong,RWBY
Susan B.,Susan Bones,
Suzaku K.,Suzaku Kururugi,
Taki T.,Taki Tachibana,
Tatsuki A.,Tatsuki Arisawa,
Thalia G.,Thalia Grace,
Tomoe M.,Tomoe Mami,
Tracey D.,Tracey Davis,
Tsunade S.,Tsunade Senju,
Tywin L.,Tywin Lannister,
v.v,V.V.,
Valerie T.,Valerie Tepes,
Viktor K.,Viktor Krum,
Weiss S.,Weiss Schnee,
Willow S.,Willow Schnee,
Winry R.,Winry Rockbell,
Yotsuha M.,Yotsuha Miyamizu,Your Name
